id,sentence,tag,member1,member2
283,截至 2014 年 12 月 31 日，该公司资产总计 4，567.76 万元，负债总额 2，170.22 万元，净资产 2，397.54 万元;2014 年实现营业收入32，066.18 万元，净利润-715.01 万元。,0,0,0
9305,重要内容提示:●交易简要内容:中海(海南)海盛船务股份有限公司将散货船“百花山”轮作为废钢船出售给江门市银湖拆船有限公司，出售价格为人民币17，183，633.49元。,0,0,0
5451,(1)投资经理发生变动。,0,0,0
4282,2、拟注册资本:人民币20亿元3、拟注册地址:北京市4、组织形式:有限责任公司 5、参股比例:贵州长征天成控股股份有限公司拟占股比例为20%。,0,0,0
5543,(二)本合同自生效之日起对资产委托人、资产管理人、资产托管人具有同 等的法律约束力。,0,0,0
1640,52、上海上投资产经营有限公司A、基本情况 上投资产为上海上实的全资子公司，实际控制人为上海市国资委。,0,0,0
95,2015年11月9日，江中药业股份有限公司将所持有的江西九州通51%股权在江西省产权交易所公开挂牌转让，转让价格6673.36万元，挂牌期为2015年11月9日至2015年12月4日17:00,1,九州通,江中药业股份有限公司
3622,四、委托贷款对上市公司包括资金和收益等各个方面的影响 公司控股子公司利用资金进行委托贷款业务，提高资金使用效率，增加收益，对公司无不利影响。,0,0,0
4521,4二、简式权益变动报告书的修订说明1、“信息披露义务人声明”及“第四节 权益变动方式”之“三、其他相关 事项”及“(四)已履行的批准程序”中，更新了本次交易通过山东黄金股东大 会批准和中国证监会核准的相关情况;2、本次发行股份购买资产并募集配套资金的标的资产范围调整为:东风探 矿权、东风采矿权及相关资产负债;归来庄公司70.65%股权;蓬莱矿业100%股 权;新立探矿权。,0,0,0
1995,特此公告。,0,0,0
608,同意公司以持有的兴业银行股权作为质押，向金融机构申请办理 不超过人民币 6000 万元借款，年利率不超过 7.0%，质押率不低于 55%， 借款期限 12 个月，用于偿还借款和补充公司流动资金。,0,0,0
9377,3、关联关系百联集团为公司控股股东，东方商厦为公司全资子公司，故本次房屋租赁构成关联交易。,0,0,0
1008,公司监事和高级管理人员列席 了会议。,0,0,0
8624,根据公司2013年第二次临时股东大会审议通过的<关于利用自有 资金购买理财产品和开展委托贷款业务的提案>的决议，公司于2014 年12月26日与浙商银行股份有限公司绍兴分行(以下简称:浙商银行 绍兴分行)、绍兴钱清小城市建设有限公司(以下简称:小城市建设 公司)签署了<委托贷款借款合同>，公司委托浙商银行绍兴分行向 小城市建设公司提供4亿元贷款，委托贷款期限自2014年12月26日起 至2015年11月25日止，委托贷款年利率为6.72%(详见公司于2014年 12月31日在上海证券交易所网站、中国证券报和上海证券报披露的临 2014-048号公告)。,0,0,0
5838,本资产管理计划财产的会计年度为每年 1 月 1 日至 12 月 31 日。,0,0,0
6208,(二)内部需履行的审批程序 上述委托贷款事项已经公司董事会和股东大会审议通过，发放委托贷款程序符合法律法规和<公司章程>的要求。,0,0,0
210,2016年度，大唐国际发电股份有限公司向合营企业河北蔚州能源综合开发有限公司注资85，365千元,1,河北蔚州能源综合开发有限公司,大唐国际发电股份有限公司
6126,由于框架 的调整，所涉及的资产为非银行类金融资产，规模较大，方案比较复杂，截至公 告日，公司及有关各方仍在积极推进发行股份购买资产工作进程，中介机构根据 标的性质已陆续开展标的资产的尽职调查和可行性核实等系列工作。,0,0,0
2082,对此，重组报告书中对本次交易完成后的社 会公众持股数量、持股比例进行了修订，详见重组报告书“重大事项提示，五、 本次交易不会导致本公司股票不具备上市条件”和“第七章，一，(二)不会导 致上市公司不符合股票上市条件”部分。,0,0,0
5806,如有新增事项， 按国家最新规定估值。,0,0,0
1228,如在 30 个工作日内不能披露的，应当提前 2 个 工作日向我会递交延期反馈回复申请，经我会同意后在 2 个工作日内公告未能及时反馈 回复的原因及对审核事项的影响。,0,0,0
4360,股票代码:600272 股票简称:开开实业 编号:2015—041 900943 开开 B 股 上海开开实业股份有限公司 关于购买银行理财产品的公告 特别提示:本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。,0,0,0
9478,2015年1月29日，广东润和房地产投资有限公司在兴宁市工商行政管理局办理完成名称变更登记手续，并取得了兴宁市工商行政管理局换发的<企业法人营业执照>。,0,0,0
3037,本次发行通过向不超过 9 名特定对象非公开发行 A 股股票的方式进行，特 定对象以现金方式认购本次非公开发行股票。,0,0,0
7657,随着市场环境的变化， 如深圳兴飞业务面临较大波动，可能导致营运资金不足、无法偿债的风险。,0,0,0
4489,特此公告。,0,0,0
3889,37、“第九节管理层讨论与分析”之“四、交易标的财务状况及 盈利能力分析”中补充披露华润赛科报告期存货跌价准备计提的充分 性。,0,0,0
2307,公司购买的是极低风险的保本理 财产品，保障本金，产品收益较为稳定。,0,0,0
1361,五、备查文件第三届董事会第三次会议决议。,0,0,0
2124,(3)财务公司增资后，股东的持股数和持股比例如下: 股东 原持有股份(万股) 本次增资股份 (万股) 增资后的股份 (万股) 增资后的 持股比例(%) 甲方 15，500 15，800 31，300 44.71 乙方 31，500 4，200 35，700 51 丙方 3，000 0 3，000 4.29第二条 增资价格、方式(1)经北京天健兴业资产评估有限公司对财务公司截止 2015 年 9 月 30 日 的资产评估，财务公司净资产为 71，689.46 万元，折后每股净资产为 1.43 元。,0,0,0
1939,特此公告。,0,0,0
3290,一、本次互保事项概述2015 年 11 月 10 日，方大特钢科技股份有限公司(以下简称“公司”)第五 届董事会第四十二次会议决议通过<关于公司为重庆方大悬架提供担保的议案>。,0,0,0
738,特此公告。,0,0,0
